BAT_NAME,RA,DEC,SNR,COUNTERPART_NAME,OTHER_NAME,CTPT_RA,CTPT_DEC,FLUX,FLUX_LO,FLUX_HI,CONTAM_FRAC,GAMMA,GAMMA_LO,GAMMA_HI,CHI_SQ_R,REDSHIFT,LUM,ASSOC_STRENGTH,CL2,TYPE
SWIFT J1356.6-1932,209.16673,-19.498209,7.23128,ESO 578- G 009,,209.1529,-19.5292,16.9,12.28,22.07,0.0,2.2,1.78,2.71,1.6,0.035021,43.680878,0,4,Sy1
SWIFT J1408.1-3024,212.03003,-30.415186,6.7472258,2MASX J14080674-3023537,,212.02821,-30.398277,17.19,12.82,22.09,0.0,2.26,1.87,2.7,0.7,0.023547,43.336082,0,4,Sy1.4
SWIFT J1410.9-4229,212.69952,-42.48319,5.743139,2MASX J14104482-4228325,,212.6868,-42.4758,12.09,8.31,16.56,0.0,2.6,2.04,3.34,0.2,0.03394,43.507492,0,5,Sy2
SWIFT J1413.2-0312,213.30783,-3.2361858,99.5052,NGC 5506,,213.3119,-3.2075,241.03,236.45,245.64,0.0,2.08,2.05,2.11,39.4,0.00618,43.309547,0,5,Sy1.9
SWIFT J1417.9+2507,214.4967,25.127432,37.48472,NGC 5548,,214.4981,25.1368,78.64,74.78,82.61,1.25990255E-5,1.86,1.8,1.93,1.5,0.01717,43.717953,0,4,Sy1.5
SWIFT J1424.2+2435,216.10919,24.61809,9.769552,NGC 5610,,216.09541,24.614445,19.21,15.69,22.98,0.0,1.97,1.72,2.23,1.5,0.016888,43.09127,0,5,Sy2
SWIFT J1427.5+1949,216.86664,19.819748,6.459307,Mrk 813,,216.854,19.831,13.28,9.69,17.27,0.0,2.0,1.63,2.42,1.4,0.1105,44.619987,0,4,Sy1
SWIFT J1429.2+0118,217.30133,1.302974,7.8434,Mrk 1383,,217.27745,1.2851324,17.77,13.39,22.62,0.0,2.13,1.75,2.56,0.2,0.08647,44.519455,0,4,Sy1
SWIFT J1431.2+2816,217.77327,28.305586,4.800475,Mrk 684,,217.77,28.2873,10.64,6.73,15.13,0.0,1.74,1.19,2.37,0.6,0.046079,43.725296,0,4,Sy1
SWIFT J1432.8-4412,218.19269,-44.207256,5.396873,NGC 5643,,218.16992,-44.17461,17.9,12.56,23.82,0.0,1.7,1.26,2.17,0.4,0.003999,41.800797,0,5,Sy2
SWIFT J1433.9+0528,218.4878,5.463258,6.5702114,NGC 5674,,218.46768,5.4582357,15.97,11.72,20.7,0.0,2.04,1.65,2.49,0.2,0.024931,43.354618,0,5,Sy1.9
SWIFT J1434.9+4837,218.73021,48.657707,7.793733,NGC 5683,Mrk 474,218.71854,48.661915,12.27,9.34,15.5,0.0,2.16,1.83,2.54,1.2,0.036222,43.57189,0,4,Sy1
SWIFT J1436.4+5846,219.0677,58.8086,16.373327,Mrk 817,,219.092,58.7943,25.91,22.78,29.19,0.0,2.01,1.85,2.18,2.2,0.03145,43.770756,0,4,Sy1.5
SWIFT J1439.2+1417,219.78537,14.301971,6.37051,2MASX J14391186+1415215,,219.7995,14.2561,15.19,10.16,20.95,0.0,1.66,1.11,2.25,1.9,0.0714,44.275948,0,4,Sy1
SWIFT J1441.4+5341,220.1557,53.4948,8.328337,Mrk 477,,220.1587,53.504417,14.4,11.11,17.98,0.0,1.9,1.59,2.24,1.1,0.037726,43.677704,0,4,Sy1
SWIFT J1442.5-1715,220.6126,-17.270372,24.34263,NGC 5728,,220.5997,-17.2532,88.63,82.56,94.84,0.0,1.76,1.66,1.86,1.8,0.0093,43.23212,0,5,Sy2
